ID,Year,Date,Stage,Home Team,Home Goals,Away Goals,Away Team,Winning Team,Losing Team,Win Conditions,Host Team
1,1930,1930/7/13,Group stage,France,4,1,Mexico,France,Mexico,,FALSE
2,1930,1930/7/13,Group stage,United States,3,0,Belgium,United States,Belgium,,FALSE
3,1930,1930/7/14,Group stage,Yugoslavia,2,1,Brazil,Yugoslavia,Brazil,,FALSE
4,1930,1930/7/14,Group stage,Romania,3,1,Peru,Romania,Peru,,FALSE
5,1930,1930/7/15,Group stage,Argentina,1,0,France,Argentina,France,,FALSE
6,1930,1930/7/16,Group stage,Chile,3,0,Mexico,Chile,Mexico,,FALSE
7,1930,1930/7/17,Group stage,Yugoslavia,4,0,Bolivia,Yugoslavia,Bolivia,,FALSE
8,1930,1930/7/17,Group stage,United States,3,0,Paraguay,United States,Paraguay,,FALSE
9,1930,1930/7/18,Group stage,Uruguay,1,0,Peru,Uruguay,Peru,,TRUE
10,1930,1930/7/19,Group stage,Chile,1,0,France,Chile,France,,FALSE
11,1930,1930/7/19,Group stage,Argentina,6,3,Mexico,Argentina,Mexico,,FALSE
12,1930,1930/7/20,Group stage,Brazil,4,0,Bolivia,Brazil,Bolivia,,FALSE
13,1930,1930/7/20,Group stage,Paraguay,1,0,Belgium,Paraguay,Belgium,,FALSE
14,1930,1930/7/21,Group stage,Uruguay,4,0,Romania,Uruguay,Romania,,TRUE
15,1930,1930/7/22,Group stage,Argentina,3,1,Chile,Argentina,Chile,,FALSE
16,1930,1930/7/26,Semi-finals,Argentina,6,1,United States,Argentina,United States,,FALSE
17,1930,1930/7/27,Semi-finals,Uruguay,6,1,Yugoslavia,Uruguay,Yugoslavia,,TRUE
18,1930,1930/7/30,Final,Uruguay,4,2,Argentina,Uruguay,Argentina,,TRUE
19,1934,1934/5/27,Round of 16,Austria,3,2,France,Austria,France,Extra time,FALSE
20,1934,1934/5/27,Round of 16,Hungary,4,2,Egypt,Hungary,Egypt,,FALSE
21,1934,1934/5/27,Round of 16,Switzerland,3,2,Netherlands,Switzerland,Netherlands,,FALSE
22,1934,1934/5/27,Round of 16,Sweden,3,2,Argentina,Sweden,Argentina,,FALSE
23,1934,1934/5/27,Round of 16,Germany,5,2,Belgium,Germany,Belgium,,FALSE
24,1934,1934/5/27,Round of 16,Spain,3,1,Brazil,Spain,Brazil,,FALSE
25,1934,1934/5/27,Round of 16,Italy,7,1,United States,Italy,United States,,TRUE
26,1934,1934/5/27,Round of 16,Czechoslovakia,2,1,Romania,Czechoslovakia,Romania,,FALSE
27,1934,1934/5/31,Quarter-finals,Czechoslovakia,3,2,Switzerland,Czechoslovakia,Switzerland,,FALSE
28,1934,1934/5/31,Quarter-finals,Germany,2,1,Sweden,Germany,Sweden,,FALSE
29,1934,1934/5/31,Quarter-finals,Italy,1,1,Spain,,,,TRUE
30,1934,1934/5/31,Quarter-finals,Austria,2,1,Hungary,Austria,Hungary,,FALSE
31,1934,1934/6/1,Quarter-finals,Italy,1,0,Spain,Italy,Spain,,TRUE
32,1934,1934/6/3,Semi-finals,Italy,1,0,Austria,Italy,Austria,,TRUE
33,1934,1934/6/3,Semi-finals,Czechoslovakia,3,1,Germany,Czechoslovakia,Germany,,FALSE
34,1934,1934/6/7,Third place,Germany,3,2,Austria,Germany,Austria,,FALSE
35,1934,1934/6/10,Final,Italy,2,1,Czechoslovakia,Italy,Czechoslovakia,Extra time,TRUE
36,1938,1938/6/4,Round of 16,Switzerland,1,1,Germany,,,,FALSE
37,1938,1938/6/5,Round of 16,Hungary,6,0,Indonesia,Hungary,Indonesia,,FALSE
38,1938,1938/6/5,Round of 16,France,3,1,Belgium,France,Belgium,,TRUE
39,1938,1938/6/5,Round of 16,Cuba,3,3,Romania,,,,FALSE
40,1938,1938/6/5,Round of 16,Italy,2,1,Norway,Italy,Norway,Extra time,FALSE
41,1938,1938/6/5,Round of 16,Brazil,6,5,Poland,Brazil,Poland,Extra time,FALSE
42,1938,1938/6/5,Round of 16,Czechoslovakia,3,0,Netherlands,Czechoslovakia,Netherlands,Extra time,FALSE
43,1938,1938/6/9,Round of 16,Cuba,2,1,Romania,Cuba,Romania,,FALSE
44,1938,1938/6/9,Round of 16,Switzerland,4,2,Germany,Switzerland,Germany,,FALSE
45,1938,1938/6/12,Quarter-finals,Brazil,1,1,Czechoslovakia,,,,FALSE
46,1938,1938/6/12,Quarter-finals,Hungary,2,0,Switzerland,Hungary,Switzerland,,FALSE
47,1938,1938/6/12,Quarter-finals,Sweden,8,0,Cuba,Sweden,Cuba,,FALSE
48,1938,1938/6/12,Quarter-finals,France,1,3,Italy,Italy,France,,TRUE
49,1938,1938/6/14,Quarter-finals,Brazil,2,1,Czechoslovakia,Brazil,Czechoslovakia,,FALSE
50,1938,1938/6/16,Semi-finals,Hungary,5,1,Sweden,Hungary,Sweden,,FALSE
51,1938,1938/6/16,Semi-finals,Italy,2,1,Brazil,Italy,Brazil,,FALSE
52,1938,1938/6/19,Third place,Brazil,4,2,Sweden,Brazil,Sweden,,FALSE
53,1938,1938/6/19,Final,Italy,4,2,Hungary,Italy,Hungary,,FALSE
54,1950,1950/6/24,First round,Brazil,4,0,Mexico,Brazil,Mexico,,TRUE
55,1950,1950/6/25,First round,England,2,0,Chile,England,Chile,,FALSE
56,1950,1950/6/25,First round,Spain,3,1,United States,Spain,United States,,FALSE
57,1950,1950/6/25,First round,Sweden,3,2,Italy,Sweden,Italy,,FALSE
58,1950,1950/6/25,First round,Yugoslavia,3,0,Switzerland,Yugoslavia,Switzerland,,FALSE
59,1950,1950/6/28,First round,Brazil,2,2,Switzerland,,,,TRUE
60,1950,1950/6/28,First round,Yugoslavia,4,1,Mexico,Yugoslavia,Mexico,,FALSE
61,1950,1950/6/29,First round,Spain,2,0,Chile,Spain,Chile,,FALSE
62,1950,1950/6/29,First round,United States,1,0,England,United States,England,,FALSE
63,1950,1950/6/29,First round,Sweden,2,2,Paraguay,,,,FALSE
64,1950,1950/7/1,First round,Brazil,2,0,Yugoslavia,Brazil,Yugoslavia,,TRUE
65,1950,1950/7/2,First round,Spain,1,0,England,Spain,England,,FALSE
66,1950,1950/7/2,First round,Italy,2,0,Paraguay,Italy,Paraguay,,FALSE
67,1950,1950/7/2,First round,Uruguay,8,0,Bolivia,Uruguay,Bolivia,,FALSE
68,1950,1950/7/2,First round,Chile,5,2,United States,Chile,United States,,FALSE
69,1950,1950/7/2,First round,Switzerland,2,1,Mexico,Switzerland,Mexico,,FALSE
70,1950,1950/7/9,Final round,Uruguay,2,2,Spain,,,,FALSE
71,1950,1950/7/9,Final round,Brazil,7,1,Sweden,Brazil,Sweden,,TRUE
72,1950,1950/7/13,Final round,Brazil,6,1,Spain,Brazil,Spain,,TRUE
73,1950,1950/7/13,Final round,Uruguay,3,2,Sweden,Uruguay,Sweden,,FALSE
74,1950,1950/7/16,Final round,Sweden,3,1,Spain,Sweden,Spain,,FALSE
75,1950,1950/7/16,Final round,Uruguay,2,1,Brazil,Uruguay,Brazil,,TRUE
76,1954,1954/6/16,Group stage,Uruguay,2,0,Czechoslovakia,Uruguay,Czechoslovakia,,FALSE
77,1954,1954/6/16,Group stage,Austria,1,0,Scotland,Austria,Scotland,,FALSE
78,1954,1954/6/16,Group stage,Brazil,5,0,Mexico,Brazil,Mexico,,FALSE
79,1954,1954/6/16,Group stage,Yugoslavia,1,0,France,Yugoslavia,France,,FALSE
80,1954,1954/6/17,Group stage,Switzerland,2,1,Italy,Switzerland,Italy,,TRUE
81,1954,1954/6/17,Group stage,Germany,4,1,Turkey,Germany,Turkey,,FALSE
82,1954,1954/6/17,Group stage,Hungary,9,0,South Korea,Hungary,South Korea,,FALSE
83,1954,1954/6/17,Group stage,England,4,4,Belgium,,,,FALSE
84,1954,1954/6/19,Group stage,Uruguay,7,0,Scotland,Uruguay,Scotland,,FALSE
85,1954,1954/6/19,Group stage,Austria,5,0,Czechoslovakia,Austria,Czechoslovakia,,FALSE
86,1954,1954/6/19,Group stage,Brazil,1,1,Yugoslavia,,,,FALSE
87,1954,1954/6/19,Group stage,France,3,2,Mexico,France,Mexico,,FALSE
88,1954,1954/6/20,Group stage,Hungary,8,3,Germany,Hungary,Germany,,FALSE
89,1954,1954/6/20,Group stage,Turkey,7,0,South Korea,Turkey,South Korea,,FALSE
90,1954,1954/6/20,Group stage,Italy,4,1,Belgium,Italy,Belgium,,FALSE
91,1954,1954/6/20,Group stage,Switzerland,0,2,England,England,Switzerland,,TRUE
92,1954,1954/6/23,Group stage,Germany,7,2,Turkey,Germany,Turkey,,FALSE
93,1954,1954/6/23,Group stage,Switzerland,4,1,Italy,Switzerland,Italy,,TRUE
94,1954,1954/6/26,Quarter-finals,Uruguay,4,2,England,Uruguay,England,,FALSE
95,1954,1954/6/26,Quarter-finals,Switzerland,5,7,Austria,Austria,Switzerland,,TRUE
96,1954,1954/6/27,Quarter-finals,Germany,2,0,Yugoslavia,Germany,Yugoslavia,,FALSE
97,1954,1954/6/27,Quarter-finals,Hungary,4,2,Brazil,Hungary,Brazil,,FALSE
98,1954,1954/6/30,Semi-finals,Germany,6,1,Austria,Germany,Austria,,FALSE
99,1954,1954/6/30,Semi-finals,Hungary,4,2,Uruguay,Hungary,Uruguay,Extra time,FALSE
100,1954,1954/7/3,Third place,Austria,3,1,Uruguay,Austria,Uruguay,,FALSE
101,1954,1954/7/4,Final,Germany,3,2,Hungary,Germany,Hungary,,FALSE
102,1958,1958/6/8,Group stage,Sweden,3,0,Mexico,Sweden,Mexico,,TRUE
103,1958,1958/6/8,Group stage,Russia,2,2,England,,,,FALSE
104,1958,1958/6/8,Group stage,Argentina,1,3,Germany,Germany,Argentina,,FALSE
105,1958,1958/6/8,Group stage,Hungary,1,1,Wales,,,,FALSE
106,1958,1958/6/8,Group stage,France,7,3,Paraguay,France,Paraguay,,FALSE
107,1958,1958/6/8,Group stage,Yugoslavia,1,1,Scotland,,,,FALSE
108,1958,1958/6/8,Group stage,Brazil,3,0,Austria,Brazil,Austria,,FALSE
109,1958,1958/6/8,Group stage,Northern Ireland,1,0,Czechoslovakia,Northern Ireland,Czechoslovakia,,FALSE
110,1958,1958/6/11,Group stage,Brazil,0,0,England,,,,FALSE
111,1958,1958/6/11,Group stage,Mexico,1,1,Wales,,,,FALSE
112,1958,1958/6/11,Group stage,Paraguay,3,2,Scotland,Paraguay,Scotland,,FALSE
113,1958,1958/6/11,Group stage,Yugoslavia,3,2,France,Yugoslavia,France,,FALSE
114,1958,1958/6/11,Group stage,Russia,2,0,Austria,Russia,Austria,,FALSE
115,1958,1958/6/11,Group stage,Germany,2,2,Czechoslovakia,,,,FALSE
116,1958,1958/6/11,Group stage,Argentina,3,1,Northern Ireland,Argentina,Northern Ireland,,FALSE
117,1958,1958/6/12,Group stage,Sweden,2,1,Hungary,Sweden,Hungary,,TRUE
118,1958,1958/6/15,Group stage,Sweden,0,0,Wales,,,,TRUE
119,1958,1958/6/15,Group stage,Brazil,2,0,Russia,Brazil,Russia,,FALSE
120,1958,1958/6/15,Group stage,Germany,2,2,Northern Ireland,,,,FALSE
121,1958,1958/6/15,Group stage,Hungary,4,0,Mexico,Hungary,Mexico,,FALSE
122,1958,1958/6/15,Group stage,Paraguay,3,3,Yugoslavia,,,,FALSE
123,1958,1958/6/15,Group stage,France,2,1,Scotland,France,Scotland,,FALSE
124,1958,1958/6/15,Group stage,England,2,2,Austria,,,,FALSE
125,1958,1958/6/15,Group stage,Czechoslovakia,6,1,Argentina,Czechoslovakia,Argentina,,FALSE
126,1958,1958/6/17,Group stage,Russia,1,0,England,Russia,England,,FALSE
127,1958,1958/6/17,Group stage,Northern Ireland,2,1,Czechoslovakia,Northern Ireland,Czechoslovakia,Extra time,FALSE
128,1958,1958/6/17,Group stage,Wales,2,1,Hungary,Wales,Hungary,,FALSE
129,1958,1958/6/19,Quarter-finals,Brazil,1,0,Wales,Brazil,Wales,,FALSE
130,1958,1958/6/19,Quarter-finals,Germany,1,0,Yugoslavia,Germany,Yugoslavia,,FALSE
131,1958,1958/6/19,Quarter-finals,Sweden,2,0,Russia,Sweden,Russia,,TRUE
132,1958,1958/6/19,Quarter-finals,France,4,0,Northern Ireland,France,Northern Ireland,,FALSE
133,1958,1958/6/24,Semi-finals,Sweden,3,1,Germany,Sweden,Germany,,TRUE
134,1958,1958/6/24,Semi-finals,Brazil,5,2,France,Brazil,France,,FALSE
135,1958,1958/6/28,Third place,France,6,3,Germany,France,Germany,,FALSE
136,1958,1958/6/29,Final,Sweden,2,5,Brazil,Brazil,Sweden,,TRUE
137,1962,1962/5/30,Group stage,Uruguay,2,1,Colombia,Uruguay,Colombia,,FALSE
138,1962,1962/5/30,Group stage,Brazil,2,0,Mexico,Brazil,Mexico,,FALSE
139,1962,1962/5/30,Group stage,Argentina,1,0,Bulgaria,Argentina,Bulgaria,,FALSE
140,1962,1962/5/30,Group stage,Chile,3,1,Switzerland,Chile,Switzerland,,TRUE
141,1962,1962/5/31,Group stage,Russia,2,0,Yugoslavia,Russia,Yugoslavia,,FALSE
142,1962,1962/5/31,Group stage,Czechoslovakia,1,0,Spain,Czechoslovakia,Spain,,FALSE
143,1962,1962/5/31,Group stage,Hungary,2,1,England,Hungary,England,,FALSE
144,1962,1962/5/31,Group stage,Germany,0,0,Italy,,,,FALSE
145,1962,1962/6/2,Group stage,Yugoslavia,3,1,Uruguay,Yugoslavia,Uruguay,,FALSE
146,1962,1962/6/2,Group stage,Brazil,0,0,Czechoslovakia,,,,FALSE
147,1962,1962/6/2,Group stage,England,3,1,Argentina,England,Argentina,,FALSE
148,1962,1962/6/2,Group stage,Chile,2,0,Italy,Chile,Italy,,TRUE
149,1962,1962/6/3,Group stage,Russia,4,4,Colombia,,,,FALSE
150,1962,1962/6/3,Group stage,Spain,1,0,Mexico,Spain,Mexico,,FALSE
151,1962,1962/6/3,Group stage,Hungary,6,1,Bulgaria,Hungary,Bulgaria,,FALSE
152,1962,1962/6/3,Group stage,Germany,2,1,Switzerland,Germany,Switzerland,,FALSE
153,1962,1962/6/6,Group stage,Russia,2,1,Uruguay,Russia,Uruguay,,FALSE
154,1962,1962/6/6,Group stage,Brazil,2,1,Spain,Brazil,Spain,,FALSE
155,1962,1962/6/6,Group stage,Hungary,0,0,Argentina,,,,FALSE
156,1962,1962/6/6,Group stage,Chile,0,2,Germany,Germany,Chile,,TRUE
157,1962,1962/6/7,Group stage,Yugoslavia,5,0,Colombia,Yugoslavia,Colombia,,FALSE
158,1962,1962/6/7,Group stage,Mexico,3,1,Czechoslovakia,Mexico,Czechoslovakia,,FALSE
159,1962,1962/6/7,Group stage,England,0,0,Bulgaria,,,,FALSE
160,1962,1962/6/7,Group stage,Italy,3,0,Switzerland,Italy,Switzerland,,FALSE
161,1962,1962/6/10,Quarter-finals,Chile,2,1,Russia,Chile,Russia,,TRUE
162,1962,1962/6/10,Quarter-finals,Brazil,3,1,England,Brazil,England,,FALSE
163,1962,1962/6/10,Quarter-finals,Czechoslovakia,1,0,Hungary,Czechoslovakia,Hungary,,FALSE
164,1962,1962/6/10,Quarter-finals,Yugoslavia,1,0,Germany,Yugoslavia,Germany,,FALSE
165,1962,1962/6/13,Semi-finals,Czechoslovakia,3,1,Yugoslavia,Czechoslovakia,Yugoslavia,,FALSE
166,1962,1962/6/13,Semi-finals,Chile,2,4,Brazil,Brazil,Chile,,TRUE
167,1962,1962/6/16,Third place,Chile,1,0,Yugoslavia,Chile,Yugoslavia,,TRUE
168,1962,1962/6/17,Final,Brazil,3,1,Czechoslovakia,Brazil,Czechoslovakia,,FALSE
169,1966,1966/7/11,Group stage,England,0,0,Uruguay,,,,TRUE
170,1966,1966/7/12,Group stage,Germany,5,0,Switzerland,Germany,Switzerland,,FALSE
171,1966,1966/7/12,Group stage,Brazil,2,0,Bulgaria,Brazil,Bulgaria,,FALSE
172,1966,1966/7/12,Group stage,Russia,3,0,North Korea,Russia,North Korea,,FALSE
173,1966,1966/7/13,Group stage,France,1,1,Mexico,,,,FALSE
174,1966,1966/7/13,Group stage,Portugal,3,1,Hungary,Portugal,Hungary,,FALSE
175,1966,1966/7/13,Group stage,Argentina,2,1,Spain,Argentina,Spain,,FALSE
176,1966,1966/7/13,Group stage,Italy,2,0,Chile,Italy,Chile,,FALSE
177,1966,1966/7/15,Group stage,Uruguay,2,1,France,Uruguay,France,,FALSE
178,1966,1966/7/15,Group stage,Spain,2,1,Switzerland,Spain,Switzerland,,FALSE
179,1966,1966/7/15,Group stage,Hungary,3,1,Brazil,Hungary,Brazil,,FALSE
180,1966,1966/7/15,Group stage,North Korea,1,1,Chile,,,,FALSE
181,1966,1966/7/16,Group stage,Portugal,3,0,Bulgaria,Portugal,Bulgaria,,FALSE
182,1966,1966/7/16,Group stage,Germany,0,0,Argentina,,,,FALSE
183,1966,1966/7/16,Group stage,Russia,1,0,Italy,Russia,Italy,,FALSE
184,1966,1966/7/16,Group stage,England,2,0,Mexico,England,Mexico,,TRUE
185,1966,1966/7/19,Group stage,Uruguay,0,0,Mexico,,,,FALSE
186,1966,1966/7/19,Group stage,Argentina,2,0,Switzerland,Argentina,Switzerland,,FALSE
187,1966,1966/7/19,Group stage,Portugal,3,1,Brazil,Portugal,Brazil,,FALSE
188,1966,1966/7/19,Group stage,North Korea,1,0,Italy,North Korea,Italy,,FALSE
189,1966,1966/7/20,Group stage,England,2,0,France,England,France,,TRUE
190,1966,1966/7/20,Group stage,Hungary,3,1,Bulgaria,Hungary,Bulgaria,,FALSE
191,1966,1966/7/20,Group stage,Germany,2,1,Spain,Germany,Spain,,FALSE
192,1966,1966/7/20,Group stage,Russia,2,1,Chile,Russia,Chile,,FALSE
193,1966,1966/7/23,Quarter-finals,England,1,0,Argentina,England,Argentina,,TRUE
194,1966,1966/7/23,Quarter-finals,Germany,4,0,Uruguay,Germany,Uruguay,,FALSE
195,1966,1966/7/23,Quarter-finals,Russia,2,1,Hungary,Russia,Hungary,,FALSE
196,1966,1966/7/23,Quarter-finals,Portugal,5,3,North Korea,Portugal,North Korea,,FALSE
197,1966,1966/7/25,Semi-finals,Germany,2,1,Russia,Germany,Russia,,FALSE
198,1966,1966/7/26,Semi-finals,England,2,1,Portugal,England,Portugal,,TRUE
199,1966,1966/7/28,Third place,Portugal,2,1,Russia,Portugal,Russia,,FALSE
200,1966,1966/7/30,Final,England,4,2,Germany,England,Germany,Extra time,TRUE
201,1970,1970/5/31,Group stage,Mexico,0,0,Russia,,,,TRUE
202,1970,1970/6/2,Group stage,Uruguay,2,0,Israel,Uruguay,Israel,,FALSE
203,1970,1970/6/2,Group stage,Peru,3,2,Bulgaria,Peru,Bulgaria,,FALSE
204,1970,1970/6/2,Group stage,England,1,0,Romania,England,Romania,,FALSE
205,1970,1970/6/3,Group stage,Italy,1,0,Sweden,Italy,Sweden,,FALSE
206,1970,1970/6/3,Group stage,Germany,2,1,Morocco,Germany,Morocco,,FALSE
207,1970,1970/6/3,Group stage,Brazil,4,1,Czechoslovakia,Brazil,Czechoslovakia,,FALSE
208,1970,1970/6/3,Group stage,Belgium,3,0,El Salvador,Belgium,El Salvador,,FALSE
209,1970,1970/6/6,Group stage,Uruguay,0,0,Italy,,,,FALSE
210,1970,1970/6/6,Group stage,Peru,3,0,Morocco,Peru,Morocco,,FALSE
211,1970,1970/6/6,Group stage,Romania,2,1,Czechoslovakia,Romania,Czechoslovakia,,FALSE
212,1970,1970/6/6,Group stage,Russia,4,1,Belgium,Russia,Belgium,,FALSE
213,1970,1970/6/7,Group stage,Sweden,1,1,Israel,,,,FALSE
214,1970,1970/6/7,Group stage,Germany,5,2,Bulgaria,Germany,Bulgaria,,FALSE
215,1970,1970/6/7,Group stage,Brazil,1,0,England,Brazil,England,,FALSE
216,1970,1970/6/7,Group stage,Mexico,4,0,El Salvador,Mexico,El Salvador,,TRUE
217,1970,1970/6/10,Group stage,Sweden,1,0,Uruguay,Sweden,Uruguay,,FALSE
218,1970,1970/6/10,Group stage,Germany,3,1,Peru,Germany,Peru,,FALSE
219,1970,1970/6/10,Group stage,Brazil,3,2,Romania,Brazil,Romania,,FALSE
220,1970,1970/6/10,Group stage,Russia,2,0,El Salvador,Russia,El Salvador,,FALSE
221,1970,1970/6/11,Group stage,Italy,0,0,Israel,,,,FALSE
222,1970,1970/6/11,Group stage,Bulgaria,1,1,Morocco,,,,FALSE
223,1970,1970/6/11,Group stage,England,1,0,Czechoslovakia,England,Czechoslovakia,,FALSE
224,1970,1970/6/11,Group stage,Mexico,1,0,Belgium,Mexico,Belgium,,TRUE
225,1970,1970/6/14,Quarter-finals,Mexico,1,4,Italy,Italy,Mexico,,TRUE
226,1970,1970/6/14,Quarter-finals,Germany,3,2,England,Germany,England,Extra time,FALSE
227,1970,1970/6/14,Quarter-finals,Brazil,4,2,Peru,Brazil,Peru,,FALSE
228,1970,1970/6/14,Quarter-finals,Uruguay,1,0,Russia,Uruguay,Russia,Extra time,FALSE
